"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年9月17日","4.75","4.82","4.82","4.72","37.02M","-1.66%"
"2019年9月16日","4.83","4.86","4.87","4.81","33.01M","-0.21%"
"2019年9月12日","4.84","4.80","4.85","4.80","29.91M","0.83%"
"2019年9月11日","4.80","4.87","4.89","4.79","37.72M","-1.44%"
"2019年9月10日","4.87","4.88","4.88","4.84","40.17M","-0.20%"
"2019年9月9日","4.88","4.87","4.88","4.84","52.24M","1.04%"
"2019年9月6日","4.83","4.83","4.84","4.79","43.76M","0.42%"
"2019年9月5日","4.81","4.79","4.86","4.79","56.90M","0.63%"
"2019年9月4日","4.78","4.74","4.78","4.72","52.37M","0.84%"
"2019年9月3日","4.74","4.73","4.74","4.71","41.40M","0.21%"
"2019年9月2日","4.73","4.65","4.74","4.65","53.40M","1.94%"
"2019年8月30日","4.64","4.67","4.69","4.62","45.43M","0.22%"
"2019年8月29日","4.63","4.66","4.66","4.61","37.99M","-0.43%"
"2019年8月28日","4.65","4.66","4.67","4.62","37.87M","-0.21%"
"2019年8月27日","4.66","4.59","4.70","4.59","63.63M","1.97%"
"2019年8月26日","4.57","4.55","4.58","4.54","59.41M","-1.30%"
"2019年8月23日","4.63","4.62","4.65","4.60","55.11M","0.43%"
"2019年8月22日","4.61","4.61","4.62","4.58","40.92M","0.22%"
"2019年8月21日","4.60","4.57","4.62","4.57","36.56M","0.00%"
"2019年8月20日","4.60","4.61","4.62","4.59","51.03M","-0.43%"
"2019年8月19日","4.62","4.55","4.63","4.51","62.36M","2.90%"
"2019年8月16日","4.49","4.46","4.54","4.46","46.95M","0.45%"
"2019年8月15日","4.47","4.39","4.47","4.36","56.83M","0.45%"
"2019年8月14日","4.45","4.48","4.50","4.45","44.23M","0.68%"
"2019年8月13日","4.42","4.43","4.45","4.40","34.45M","-0.90%"
"2019年8月12日","4.46","4.37","4.46","4.37","38.80M","2.29%"
"2019年8月9日","4.36","4.45","4.46","4.36","47.98M","-1.58%"
"2019年8月8日","4.43","4.41","4.44","4.39","38.86M","1.37%"
"2019年8月7日","4.37","4.41","4.42","4.36","43.96M","-0.23%"
"2019年8月6日","4.38","4.36","4.40","4.29","73.64M","-0.68%"
"2019年8月5日","4.41","4.46","4.50","4.41","71.20M","-2.00%"
"2019年8月2日","4.50","4.40","4.51","4.40","61.59M","-1.53%"
"2019年8月1日","4.57","4.58","4.60","4.55","52.59M","-0.65%"
"2019年7月31日","4.60","4.62","4.63","4.59","50.44M","-1.08%"
"2019年7月30日","4.65","4.63","4.68","4.63","62.15M","0.43%"
"2019年7月29日","4.63","4.63","4.63","4.60","45.21M","0.00%"
"2019年7月26日","4.63","4.60","4.64","4.60","52.71M","0.22%"
"2019年7月25日","4.62","4.57","4.62","4.56","33.91M","1.09%"
"2019年7月24日","4.57","4.55","4.60","4.55","58.49M","0.88%"
"2019年7月23日","4.53","4.51","4.54","4.50","31.58M","0.22%"
"2019年7月22日","4.52","4.54","4.57","4.49","42.76M","-0.44%"
"2019年7月19日","4.54","4.52","4.58","4.52","48.37M","0.89%"
"2019年7月18日","4.50","4.56","4.57","4.50","53.49M","-1.53%"
"2019年7月17日","4.57","4.53","4.60","4.53","63.19M","0.44%"
"2019年7月16日","4.55","4.58","4.58","4.54","35.77M","-0.66%"
"2019年7月15日","4.58","4.53","4.61","4.47","58.84M","0.66%"
"2019年7月12日","4.55","4.50","4.56","4.49","47.76M","1.11%"
"2019年7月11日","4.50","4.53","4.58","4.49","42.60M","-0.22%"
"2019年7月10日","4.51","4.52","4.54","4.50","31.37M","0.00%"
"2019年7月9日","4.51","4.51","4.53","4.47","38.83M","-0.22%"
"2019年7月8日","4.52","4.59","4.60","4.47","55.17M","-2.16%"
"2019年7月5日","4.62","4.56","4.63","4.56","65.49M","1.32%"
"2019年7月4日","4.56","4.59","4.62","4.53","43.03M","-0.65%"
"2019年7月3日","4.59","4.65","4.65","4.57","55.39M","-1.50%"
"2019年7月2日","4.66","4.65","4.67","4.60","52.92M","0.22%"
"2019年7月1日","4.65","4.55","4.65","4.54","80.21M","4.26%"
"2019年6月28日","4.46","4.46","4.47","4.43","51.65M","0.00%"
"2019年6月27日","4.46","4.40","4.48","4.40","56.14M","1.36%"
"2019年6月26日","4.40","4.35","4.41","4.35","39.37M","0.23%"
"2019年6月25日","4.39","4.43","4.43","4.33","45.60M","-0.90%"
"2019年6月24日","4.43","4.42","4.45","4.40","47.01M","0.00%"
"2019年6月21日","4.43","4.45","4.46","4.40","58.93M","0.23%"
"2019年6月20日","4.42","4.31","4.45","4.29","68.57M","2.55%"
"2019年6月19日","4.31","4.38","4.39","4.30","82.21M","1.41%"
"2019年6月18日","4.25","4.24","4.26","4.20","53.09M","0.47%"
"2019年6月17日","4.23","4.24","4.29","4.22","31.46M","-0.47%"
"2019年6月14日","4.25","4.30","4.33","4.24","43.98M","-1.16%"
"2019年6月13日","4.30","4.31","4.31","4.25","48.85M","-0.23%"
"2019年6月12日","4.31","4.34","4.34","4.30","63.11M","-0.92%"
"2019年6月11日","4.35","4.19","4.36","4.19","86.04M","3.82%"
"2019年6月10日","4.19","4.13","4.21","4.12","62.30M","1.70%"
"2019年6月6日","4.12","4.20","4.20","4.11","55.28M","-1.67%"
"2019年6月5日","4.19","4.23","4.24","4.18","48.12M","0.24%"
"2019年6月4日","4.18","4.24","4.25","4.16","52.80M","-1.65%"
"2019年6月3日","4.25","4.27","4.31","4.22","52.34M","-0.23%"
"2019年5月31日","4.26","4.25","4.30","4.24","60.37M","0.00%"
"2019年5月30日","4.26","4.27","4.27","4.22","64.25M","-0.47%"
"2019年5月29日","4.28","4.27","4.32","4.25","41.45M","0.23%"
